        Size        Count    Type
     33.8 MB         2209    Texture2D
    501.5 KB          630    MonoScript
    439.7 KB           62    PluginImporter
     0 bytes        17429    String
     0 bytes         1175    Char
     0 bytes        23128    Int32
     0 bytes          244    Color
     0 bytes         1455    Single
     0 bytes        16118    Boolean
     0 bytes           55    Object
     0 bytes        37874    Byte
     0 bytes          321    KeyCode
     0 bytes          145    Vector3
     0 bytes            3    DateTimeFormatInfo
     0 bytes         1695    String[]
     0 bytes           70    Contraction
     0 bytes          288    Vector2
     0 bytes          244    Double
     0 bytes        15652    Int64
     0 bytes          155    Type[]
     0 bytes         2863    RuntimeType
     0 bytes         2664    Entry<String, Int32>
     0 bytes         1386    GUIStyle
     0 bytes            5    GUIStyle[]
     0 bytes        10012    GUIStyleState
     0 bytes          166    RectOffset
     0 bytes        10013    Texture2D[]
     0 bytes         1875    Entry<String, GUIStyle>
     0 bytes           80    Rect
     0 bytes           84    Object[]
     0 bytes           95    GUILayoutGroup
     0 bytes           96    List`1<GUILayoutEntry>
     0 bytes           42    GUILayoutEntry[]
     0 bytes         1673    GUIContent
     0 bytes          931    UInt32
     0 bytes           11    VisualElement
     0 bytes           38    HashSet`1<String>
     0 bytes           16    RenderData
     0 bytes           32    CSSNode
     0 bytes           20    VisualElementStylesData
     0 bytes           13    IMGUIContainer
     0 bytes           71    WeakReference
     0 bytes         1232    List`1<String>
     0 bytes           83    GUILayoutEntry
     0 bytes          105    Slot<String>
     0 bytes          116    RuleMatcher
     0 bytes          116    StyleComplexSelector
     0 bytes          107    StyleRule
     0 bytes          116    StyleSelector[]
     0 bytes          107    StyleProperty[]
     0 bytes          199    StyleSelector
     0 bytes          332    StyleProperty
     0 bytes          313    StyleSelectorPart
     0 bytes          332    StyleValueHandle
     0 bytes           89    Entry<String, StylePropertyID>
     0 bytes           29    ExclusiveReference
     0 bytes           29    RegexCode
     0 bytes           29    Regex
     0 bytes           82    MonoTypeInfo
     0 bytes           73    MixerParameterDefinition
     0 bytes          117    GUIContent[]
     0 bytes          502    UInt64
     0 bytes         2613    bucket
     0 bytes           50    Hashtable
     0 bytes           28    PrefColor
     0 bytes          200    ContactPoint2D
     0 bytes           58    PrefKey
     0 bytes           65    MonoProperty
     0 bytes           65    MonoPropertyInfo
     0 bytes           95    Entry<String, String>
     0 bytes          628    Entry<Type, List`1>
     0 bytes          375    List`1<MonoEditorType>
     0 bytes          375    MonoEditorType[]
     0 bytes          221    MonoEditorType
     0 bytes           95    MonoAssembly
     0 bytes            9    RenameOverlay
     0 bytes           33    InvokableCallList
     0 bytes            2    ListElement[]
     0 bytes            9    BuiltinResource[]
     0 bytes           99    List`1<BaseInvokableCall>
     0 bytes           33    List`1<PersistentCall>
     0 bytes          239    ListElement
     0 bytes            6    TreeViewItem[]
     0 bytes          165    BuiltinResource
     0 bytes            1    IPrefType[]
     0 bytes           39    GameViewSize
     0 bytes           50    BoneMappingItem
     0 bytes           49    BonePoseData
     0 bytes           49    Entry<String, FontSetting>
     0 bytes           49    FontSetting
     0 bytes           77    TargetAssembly
     0 bytes           68    Func`2<String, Int32>
     0 bytes           77    List`1<TargetAssembly>
     0 bytes          128    ScriptCompilerOptions
     0 bytes           67    Func`3<BuildTarget, EditorScriptCompilationOptions, Boolean>
     0 bytes           13    TargetAssembly[]
     0 bytes           89    PrecompiledAssembly
     0 bytes          127    CustomScriptAssembly
     0 bytes          189    PackageAssembly
     0 bytes           65    <CreateTargetAssemblies>c__AnonStorey1
     0 bytes           65    <CreateTargetAssemblies>c__AnonStorey2
     0 bytes          292    UnityType
     0 bytes            1    UnityType[]
     0 bytes          431    Entry<Int32, UnityType>
     0 bytes          431    Entry<String, UnityType>
     0 bytes         4246    Entry<Type, TypeData>
     0 bytes         2103    TypeData
     0 bytes          651    List`1<FieldInfo>
     0 bytes          671    FieldInfo[]
     0 bytes           59    MonoCMethod
     0 bytes         1835    MonoField
     0 bytes         4049    Entry<Type, TypeStats>
     0 bytes         1988    TypeStats
     0 bytes         1988    Dictionary`2<Object, InstanceStats>
     0 bytes         1948    Entry<Object, InstanceStats>
     0 bytes         1221    InstanceStats
     0 bytes           13    IvyInfo
     0 bytes           28    PackageVersion
     0 bytes           29    IvyArtifact
     0 bytes          475    OpCode
     0 bytes           69    BitSet
     0 bytes          404    Node
     0 bytes          404    Node[]
     0 bytes           28    BitArray
     0 bytes           74    Entry<BinaryOperatorType, Int32>
     0 bytes            5    AssemblyBuilder
     0 bytes            5    ModuleBuilder
     0 bytes           20    CustomAttributeBuilder
     0 bytes           12    TypeDesc
     0 bytes           30    TypeBuilder
     0 bytes           50    Internal
     0 bytes           55    Entry<MemberInfo, Int32>
     0 bytes           96    MethodBuilder
     0 bytes           20    ConstructorBuilder
     0 bytes           33    FieldBuilder
     0 bytes           25    PropertyBuilder
     0 bytes           51    ParameterBuilder
