        Size        Count    Type
     46.7 MB         2372    Texture2D
     4.49 MB           31    Object
    790.2 KB          112    Mesh
    465.5 KB          631    MonoScript
    439.7 KB           62    PluginImporter
     0 bytes        10793    String
     0 bytes         1175    Char
     0 bytes        13763    Int32
     0 bytes          244    Color
     0 bytes        49389    Single
     0 bytes        16133    Boolean
     0 bytes           55    Object
     0 bytes        37874    Byte
     0 bytes          321    KeyCode
     0 bytes          877    Vector3
     0 bytes            3    DateTimeFormatInfo
     0 bytes          463    String[]
     0 bytes           70    Contraction
     0 bytes          557    Vector2
     0 bytes           70    Vector4
     0 bytes          244    Double
     0 bytes        15652    Int64
     0 bytes          156    Type[]
     0 bytes          539    RuntimeType
     0 bytes         2664    Entry<String, Int32>
     0 bytes         1385    GUIStyle
     0 bytes            5    GUIStyle[]
     0 bytes        10011    GUIStyleState
     0 bytes          169    RectOffset
     0 bytes        10012    Texture2D[]
     0 bytes         1875    Entry<String, GUIStyle>
     0 bytes           80    Rect
     0 bytes           88    Object[]
     0 bytes           78    GUILayoutGroup
     0 bytes           84    List`1<GUILayoutEntry>
     0 bytes           40    GUILayoutEntry[]
     0 bytes           48    Action
     0 bytes         1664    GUIContent
     0 bytes          931    UInt32
     0 bytes            8    StylePainter
     0 bytes           15    VisualElement
     0 bytes           44    HashSet`1<String>
     0 bytes           22    RenderData
     0 bytes           38    CSSNode
     0 bytes           26    VisualElementStylesData
     0 bytes           27    List`1<ScheduledItem>
     0 bytes           15    IMGUIContainer
     0 bytes           79    WeakReference
     0 bytes           96    GUILayoutEntry
     0 bytes           25    SplitterState
     0 bytes          125    Slot<String>
     0 bytes          116    RuleMatcher
     0 bytes          116    StyleComplexSelector
     0 bytes          107    StyleRule
     0 bytes          116    StyleSelector[]
     0 bytes          107    StyleProperty[]
     0 bytes          199    StyleSelector
     0 bytes          332    StyleProperty
     0 bytes          313    StyleSelectorPart
     0 bytes          332    StyleValueHandle
     0 bytes           89    Entry<String, StylePropertyID>
     0 bytes           29    ExclusiveReference
     0 bytes           29    RegexCode
     0 bytes           29    Regex
     0 bytes           73    MixerParameterDefinition
     0 bytes          115    GUIContent[]
     0 bytes         2613    bucket
     0 bytes           50    Hashtable
     0 bytes           28    PrefColor
     0 bytes          200    ContactPoint2D
     0 bytes           58    PrefKey
     0 bytes           65    MonoProperty
     0 bytes           65    MonoPropertyInfo
     0 bytes           95    Entry<String, String>
     0 bytes          628    Entry<Type, List`1>
     0 bytes          375    List`1<MonoEditorType>
     0 bytes          375    MonoEditorType[]
     0 bytes          221    MonoEditorType
     0 bytes           95    MonoAssembly
     0 bytes           83    List`1<Int32>
     0 bytes           17    RenameOverlay
     0 bytes           36    InvokableCallList
     0 bytes            2    ListElement[]
     0 bytes            9    BuiltinResource[]
     0 bytes          108    List`1<BaseInvokableCall>
     0 bytes           36    List`1<PersistentCall>
     0 bytes          239    ListElement
     0 bytes            8    TreeViewItem[]
     0 bytes          165    BuiltinResource
     0 bytes           39    GameViewSize
     0 bytes           50    BoneMappingItem
     0 bytes           49    BonePoseData
     0 bytes           49    Entry<String, FontSetting>
     0 bytes           49    FontSetting
     0 bytes           77    TargetAssembly
     0 bytes           68    Func`2<String, Int32>
     0 bytes           77    List`1<TargetAssembly>
     0 bytes          128    ScriptCompilerOptions
     0 bytes           67    Func`3<BuildTarget, EditorScriptCompilationOptions, Boolean>
     0 bytes           13    TargetAssembly[]
     0 bytes           89    PrecompiledAssembly
     0 bytes          127    CustomScriptAssembly
     0 bytes          189    PackageAssembly
     0 bytes           65    <CreateTargetAssemblies>c__AnonStorey1
     0 bytes           65    <CreateTargetAssemblies>c__AnonStorey2
     0 bytes          292    UnityType
     0 bytes            1    UnityType[]
     0 bytes          431    Entry<Int32, UnityType>
     0 bytes          431    Entry<String, UnityType>
     0 bytes           13    IvyInfo
     0 bytes           28    PackageVersion
     0 bytes           29    IvyArtifact
     0 bytes          475    OpCode
     0 bytes           69    BitSet
     0 bytes          404    Node
     0 bytes          404    Node[]
     0 bytes           28    BitArray
     0 bytes           74    Entry<BinaryOperatorType, Int32>
     0 bytes           23    MonoField
     0 bytes            5    AssemblyBuilder
     0 bytes            5    ModuleBuilder
     0 bytes           20    CustomAttributeBuilder
     0 bytes           12    TypeDesc
     0 bytes           30    TypeBuilder
     0 bytes           50    Internal
     0 bytes           55    Entry<MemberInfo, Int32>
     0 bytes           96    MethodBuilder
     0 bytes           20    ConstructorBuilder
     0 bytes           33    FieldBuilder
     0 bytes           25    PropertyBuilder
     0 bytes           51    ParameterBuilder
     0 bytes           13    ChartViewData
     0 bytes           26    ChartSeriesViewData[]
     0 bytes           79    ChartSeriesViewData
     0 bytes           36    Column
     0 bytes          208    LabelLayoutData
